,SX,M (€),R (mois),F (mois),CA_MOIS (€),CA_TRIM (€),CA_SEM (€),CA_ANNU (€),AG (an),NB_LIV_ENF (unité),NB_LIV_ADO (unité),NB_LIV_ROM (unité),NB_LIV_ART (unité),NB_LIV_BRIC (unité),NB_LIV_ESS (unité),NB_LIV_HIST (unités),NB_LIV_SCI (unité),NB_LIV_GEO (unités),NB_LIV_ECO (unité),NB_LIV_FIN (unité)
00010112,M,135,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00010002,M,138,28,3,0,0,0,0,40,0,1,0,1,0,0,1,0,0,0,0
00010046,F,138,22,7,0,0,0,0,56,2,1,2,0,1,0,1,1,0,0,0
00010150,F,138,10,7,0,0,0,237,38,2,3,0,0,0,1,1,0,0,0,1
00010049,F,148,12,2,0,0,0,888,20,1,0,0,1,0,0,0,0,0,0,0
00010217,M,164,22,2,0,0,0,0,26,0,0,1,0,1,0,0,0,0,0,0
00010012,F,173,14,2,0,0,0,0,16,0,1,0,0,1,0,0,0,0,0,0
00010017,F,176,8,3,0,0,0,704,20,0,0,2,0,0,0,1,1,0,0,0
00010214,M,177,24,1,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0
00010119,F,184,2,2,0,276,552,1104,10,1,0,1,0,0,0,0,1,0,0,0
00010055,F,186,6,12,0,0,93,186,78,2,1,3,0,1,1,4,1,0,1,1
00010155,F,186,16,7,0,0,0,0,54,2,1,3,1,0,0,0,0,0,0,0
00010039,F,190,22,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
00010061,F,190,16,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0
00010067,F,190,12,1,0,0,0,2280,12,0,0,0,0,0,1,0,0,0,0,0
00010091,F,197,10,12,0,0,0,197,36,3,0,4,2,2,1,0,0,0,0,0
00010101,F,197,34,2,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,0
00010136,F,198,2,12,0,50,99,198,62,2,3,2,1,0,2,2,1,0,1,1
00010190,F,199,10,1,0,0,0,2388,10,0,0,0,1,0,0,0,0,0,0,0
00010160,F,202,2,1,0,606,1212,2424,2,0,0,0,0,1,0,0,0,0,0,0
00010028,F,211,14,12,0,0,0,0,68,2,0,6,1,1,0,2,1,0,0,0
00010057,M,211,6,1,0,0,1266,2532,6,0,0,1,0,0,0,0,0,0,0,0
00010148,F,218,24,2,0,0,0,0,30,0,0,1,0,0,0,1,0,0,0,0
00010125,F,226,14,6,0,0,0,0,28,2,1,2,0,0,1,0,1,0,0,0
00010030,F,240,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00010111,F,240,14,7,0,0,0,0,48,2,0,1,0,1,0,3,0,0,0,0
00010042,F,246,12,2,0,0,0,1476,14,1,0,1,0,0,0,0,0,0,0,0
00010075,M,248,14,7,0,0,0,0,40,1,0,4,1,1,0,0,0,0,0,0
00010200,F,248,34,12,0,0,0,0,72,4,0,1,2,2,2,1,0,0,0,0
00010211,F,249,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1
00010196,F,251,10,2,0,0,0,1506,18,1,0,0,0,0,1,0,0,0,0,1
00010081,F,252,10,1,0,0,0,3024,10,0,0,0,0,0,1,0,0,0,0,0
00010173,F,252,12,1,0,0,0,3024,12,1,0,0,0,0,0,0,0,0,0,0
00010106,M,253,34,2,0,0,0,0,38,1,1,0,0,0,0,0,0,0,0,0
00010120,F,253,10,4,0,0,0,759,20,1,0,0,0,1,1,1,0,0,0,1
00010153,F,254,6,3,0,0,508,1016,24,0,0,1,1,0,1,0,1,0,0,0
00010071,F,255,14,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
00010134,F,255,30,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
00010165,F,258,4,2,0,0,774,1548,8,0,1,0,0,0,1,0,0,0,0,0
00010202,M,260,34,11,0,0,0,0,74,0,2,3,5,0,1,0,0,0,0,0
00010054,F,264,18,2,0,0,0,0,20,0,0,1,0,1,0,0,0,0,0,0
00010103,F,268,4,1,0,0,1608,3216,4,0,0,0,0,0,0,1,0,0,0,1
00010099,F,274,12,2,0,0,0,1644,20,1,0,0,0,0,1,0,0,0,0,0
00010078,F,284,10,1,0,0,0,3408,10,0,1,0,0,0,0,0,0,0,0,0
00010058,F,289,4,5,0,0,347,694,32,1,1,1,1,0,0,1,0,0,0,0
00010011,F,294,6,2,0,0,882,1764,8,0,1,1,0,0,0,0,0,0,0,0
00010181,F,301,2,2,0,452,903,1806,4,0,0,1,1,0,0,0,0,0,0,0
00010174,F,303,24,1,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0
00010205,F,303,10,3,0,0,0,1212,20,1,0,1,0,0,1,0,1,0,1,0
00010223,F,311,14,9,0,0,0,0,50,0,0,2,1,0,0,6,0,0,0,1
00010129,F,313,8,3,0,0,0,1252,22,1,0,1,0,0,0,1,0,0,0,0
00010100,M,320,2,3,0,320,640,1280,18,0,0,0,1,0,2,0,0,0,0,1
00010156,F,320,6,5,0,0,384,768,24,2,0,2,0,0,0,1,1,0,0,0
00010191,F,324,26,2,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0
00010027,M,325,12,7,0,0,0,557,26,1,0,2,2,0,1,1,1,0,1,0
00010131,F,326,14,2,0,0,0,0,22,0,1,0,0,1,0,0,0,0,0,0
00010133,F,330,28,11,0,0,0,0,66,0,3,4,1,2,0,1,0,0,0,0
00010072,F,336,14,4,0,0,0,0,30,1,2,0,0,0,1,0,0,0,1,0
00010050,F,341,14,4,0,0,0,0,32,1,2,0,0,0,0,1,0,0,0,0
00010034,F,350,4,9,0,0,233,467,28,3,0,4,0,0,2,0,0,0,0,0
00010117,M,365,8,11,0,0,0,398,60,3,0,0,0,1,1,6,0,0,0,1
00010023,M,388,24,9,0,0,0,0,56,2,0,3,1,1,1,1,1,0,1,0
00010145,F,393,12,11,0,0,0,429,50,3,0,3,0,0,2,3,0,0,0,1
00010009,F,418,6,11,0,0,228,456,66,0,2,3,2,0,3,1,0,0,0,1
00010018,M,447,8,12,0,0,0,447,34,4,0,6,0,0,2,0,0,0,0,0
00010226,F,236,16,2,0,0,0,0,20,0,1,1,0,0,0,0,1,0,0,0
00010230,M,180,8,2,0,0,0,1080,12,0,1,0,1,0,0,0,0,0,0,1
00010232,F,266,6,2,0,0,798,1596,10,1,0,0,0,0,0,1,0,0,0,0
00010233,F,437,16,11,0,0,0,0,58,5,0,2,2,0,2,0,1,0,1,0
00010234,F,188,10,1,0,0,0,2256,10,1,0,0,0,0,0,0,0,0,0,0
00010235,F,285,10,6,0,0,0,570,38,0,0,2,2,0,1,1,1,0,0,0
00010236,M,308,6,9,0,0,205,411,34,0,2,3,0,2,0,2,0,0,0,0
00010237,M,162,32,2,0,0,0,0,36,0,0,2,0,0,0,0,1,0,0,0
00010238,F,371,26,12,0,0,0,0,66,3,2,4,0,1,0,2,0,0,0,0
00010239,F,44,2,1,0,132,264,528,2,0,0,1,0,0,0,0,0,0,0,1
00010241,F,221,30,2,0,0,0,0,38,0,1,0,0,0,0,1,0,0,0,0
00010244,M,349,2,8,0,131,262,524,22,2,0,1,0,1,3,1,0,0,0,1
00010248,F,87,8,4,0,0,0,261,18,0,0,2,1,0,1,0,0,0,0,0
00010250,F,96,16,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
00010253,M,286,14,2,0,0,0,0,16,0,0,0,0,0,1,1,0,0,0,0
00010254,F,183,20,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
00010255,F,146,6,2,0,0,438,876,10,0,0,0,0,1,0,1,0,0,0,0
00010257,F,194,28,2,0,0,0,0,30,1,0,1,0,0,0,0,1,0,0,0
00010258,M,180,28,2,0,0,0,0,36,0,0,1,0,0,0,1,0,0,0,0
00010260,M,96,26,2,0,0,0,0,34,0,1,1,0,0,0,0,0,0,0,0
00010267,F,242,10,5,0,0,0,581,32,1,0,2,0,1,1,0,0,0,0,0
00010268,M,296,6,2,0,0,888,1776,12,1,0,0,1,0,0,0,0,0,0,0
00010269,M,229,4,12,0,0,115,229,62,2,1,6,0,1,0,2,1,0,0,0
00010270,F,264,4,2,0,0,792,1584,12,0,0,1,0,0,0,1,0,0,0,0
00010272,M,460,12,11,0,0,0,502,36,3,0,2,3,1,0,2,1,0,0,0
00010274,F,312,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00010277,F,223,16,7,0,0,0,0,44,2,1,1,1,0,2,0,1,0,1,0
00010279,F,48,16,2,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0
00010284,F,265,4,7,0,0,227,454,40,1,1,1,2,0,2,0,0,0,0,0
00010286,M,84,6,1,0,0,504,1008,6,0,0,0,0,1,0,0,0,0,0,1
00010287,M,146,22,2,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0
00010291,F,404,12,7,0,0,0,693,46,2,1,1,1,0,1,1,0,0,0,0
00010293,M,243,2,12,0,61,122,243,34,3,0,4,1,1,1,2,0,0,0,0
00010296,M,70,4,2,0,0,210,420,6,1,0,0,1,0,0,0,0,0,0,0
00010297,F,276,12,2,0,0,0,1656,14,1,0,0,1,0,0,0,0,0,0,0
00010298,F,159,12,8,0,0,0,239,44,1,1,3,1,0,1,1,1,0,0,0
00010299,F,313,28,2,0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,0
00010300,F,136,24,1,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0
00010305,M,235,10,1,0,0,0,2820,10,0,1,0,0,0,0,0,0,0,0,0
00010306,F,265,22,10,0,0,0,0,54,2,0,3,3,1,0,1,0,0,0,0
00010314,F,372,10,5,0,0,0,893,20,0,0,0,0,2,1,2,0,0,0,0
00010315,F,63,22,1,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0
00010316,M,63,16,2,0,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0
00010317,F,33,10,2,0,0,0,198,16,0,0,1,0,0,0,1,0,0,0,0
00010321,M,176,8,1,0,0,0,2112,8,0,0,1,0,0,0,0,0,0,0,0
00010322,F,220,4,1,0,0,1320,2640,4,0,0,1,0,0,0,0,0,0,0,0
00010325,F,316,16,6,0,0,0,0,32,3,1,0,1,0,1,0,0,0,0,0
00010329,F,313,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00010331,M,235,14,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
00010332,M,306,24,1,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0
00010333,F,280,30,2,0,0,0,0,34,0,1,1,0,0,0,0,1,0,0,0
00010335,F,88,10,2,0,0,0,528,16,0,0,1,0,0,0,1,0,0,0,0
00010336,M,155,12,8,0,0,0,233,48,2,1,3,1,0,0,1,1,0,0,0
00010337,F,231,8,1,0,0,0,2772,8,0,0,1,0,0,0,0,0,0,0,0
00010338,F,278,10,9,0,0,0,371,56,1,2,2,0,0,0,4,1,0,0,0
00010341,F,112,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00010345,F,234,4,2,0,0,702,1404,10,1,0,0,1,0,0,0,0,0,0,0
00010347,F,105,8,7,0,0,0,180,40,1,1,1,0,2,0,2,0,0,0,0
00010349,F,97,20,1,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0
00010351,F,49,26,1,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0
00010353,M,317,10,3,0,0,0,1268,28,0,0,0,0,1,1,1,0,0,0,0
00010354,M,49,22,3,0,0,0,0,32,0,0,1,1,0,1,0,0,0,0,0
00010356,M,189,16,9,0,0,0,0,68,1,0,1,3,1,1,2,0,0,0,0
00010360,F,92,16,3,0,0,0,0,32,0,1,0,1,0,1,0,0,0,0,0
00010361,M,73,24,2,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0
00010362,F,223,10,8,0,0,0,335,46,1,1,1,1,0,2,2,1,0,1,0
00010363,M,310,32,2,0,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0
00010368,F,137,10,9,0,0,0,183,36,3,0,4,1,0,1,0,1,0,0,0
00010369,F,33,14,2,0,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0
00010370,F,321,12,3,0,0,0,1284,24,0,1,1,0,1,0,0,0,0,0,0
00010371,F,220,8,2,0,0,0,1320,10,0,0,1,0,1,0,0,0,0,0,0
00010378,F,155,4,6,0,0,155,310,24,1,1,2,0,0,0,2,0,0,0,0
00010381,F,207,4,7,0,0,177,355,22,2,1,1,0,0,1,2,0,0,0,1
00010383,F,383,28,12,0,0,0,0,88,4,1,1,2,2,1,1,0,0,0,0
00010384,M,340,14,4,0,0,0,0,26,3,0,1,0,0,0,0,0,0,0,0
00010387,M,352,10,10,0,0,0,422,50,3,2,2,1,1,0,1,0,0,0,0
00010391,F,143,14,9,0,0,0,0,38,2,2,1,1,1,2,0,0,0,0,0
00010392,F,181,14,3,0,0,0,0,24,0,0,2,0,0,0,1,0,0,0,0
00010394,F,287,2,1,0,861,1722,3444,2,0,1,0,0,0,0,0,0,0,0,0
00010396,F,265,16,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
00010398,M,322,4,2,0,0,966,1932,10,1,0,0,0,1,0,0,0,0,0,0
00010400,M,261,2,2,0,392,783,1566,4,1,0,1,0,0,0,0,0,0,0,0
00010402,F,87,10,1,0,0,0,1044,10,1,0,0,0,0,0,0,0,0,0,0
00010404,F,195,10,2,0,0,0,1170,16,0,0,1,0,0,1,0,0,0,0,0
00010406,F,278,18,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0
00010407,F,310,2,1,0,930,1860,3720,2,0,0,0,0,0,0,1,0,0,0,0
00010408,F,69,14,2,0,0,0,0,18,1,0,0,0,0,0,1,0,0,0,0
00010410,F,18,8,1,0,0,0,216,8,0,0,0,0,1,0,0,0,0,0,0
00010411,F,210,2,3,0,210,420,840,20,0,2,0,0,0,0,1,0,0,0,0
00010413,M,323,14,9,0,0,0,0,52,1,2,2,2,1,0,1,0,0,0,0
00010414,M,193,10,6,0,0,0,386,26,2,0,3,1,0,0,0,1,0,0,0
00010415,M,246,10,2,0,0,0,1476,14,2,0,0,0,0,0,0,0,0,0,0
00010416,F,335,12,4,0,0,0,1005,36,0,0,3,0,0,1,0,1,0,0,0
00010420,F,368,12,12,0,0,0,368,54,3,1,3,0,3,1,1,1,1,0,1
00010430,F,25,2,1,0,75,150,300,2,0,0,0,0,0,0,1,0,0,0,0
00010431,F,274,16,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
00010435,F,102,14,2,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0
00010437,F,368,14,11,0,0,0,0,62,4,1,2,2,1,1,0,1,0,0,0
00010438,F,378,10,7,0,0,0,648,50,1,1,1,1,0,2,1,0,0,0,0
00010440,F,458,10,12,0,0,0,458,44,1,0,3,1,2,2,3,1,1,1,1
00010442,F,192,16,10,0,0,0,0,42,2,1,2,3,1,0,1,0,0,0,0
00010446,M,111,16,2,0,0,0,0,24,0,0,1,0,1,0,0,0,0,0,0
00010447,F,249,22,11,0,0,0,0,84,1,3,1,3,0,1,2,0,0,0,0
00010453,F,154,10,7,0,0,0,264,46,0,2,0,1,0,1,3,0,0,0,1
00010455,F,186,36,2,0,0,0,0,40,0,0,2,0,0,0,0,1,0,0,0
00010457,F,283,12,2,0,0,0,1698,18,0,0,1,0,1,0,0,0,0,0,0
00010458,M,228,30,2,0,0,0,0,38,1,0,1,0,0,0,0,1,0,0,0
00010461,M,160,10,6,0,0,0,320,28,1,1,1,1,1,0,1,0,0,0,1
00010462,F,189,28,11,0,0,0,0,88,4,1,4,0,0,1,1,1,0,0,0
00010463,F,261,18,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0
00010467,M,136,12,2,0,0,0,816,16,0,1,0,1,0,0,0,0,0,0,0
00010470,F,445,26,11,0,0,0,0,48,1,2,4,1,0,1,2,0,0,0,0
00010473,F,247,24,2,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,0
00010474,M,46,10,1,0,0,0,552,10,1,0,0,0,0,0,0,0,0,0,0
00010475,F,303,2,2,0,455,909,1818,6,0,0,1,0,0,0,1,0,0,0,0
00010477,M,123,12,2,0,0,0,738,16,1,0,0,0,1,0,0,0,1,0,1
00010479,F,210,10,12,0,0,0,210,42,4,1,5,0,0,2,0,0,0,0,0
00010480,F,118,8,2,0,0,0,708,10,0,0,1,0,0,0,1,0,0,0,0
00010482,M,283,12,1,0,0,0,3396,12,1,0,0,0,0,0,0,0,0,0,0
00010483,F,371,16,9,0,0,0,0,48,3,0,4,0,0,0,2,1,0,0,0
00010484,F,329,12,8,0,0,0,494,36,1,2,1,0,1,0,3,0,0,0,0
00010486,F,284,16,2,0,0,0,0,20,0,0,1,0,0,0,1,0,0,0,0
00010489,F,286,4,1,0,0,1716,3432,4,0,0,0,1,0,0,0,0,0,0,0
00010492,F,142,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00010493,M,199,16,5,0,0,0,0,36,0,0,3,0,0,1,1,0,0,0,0
00010494,M,289,36,4,0,0,0,0,46,0,1,0,0,1,0,2,0,1,0,0
00010495,F,297,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00010496,F,70,14,2,0,0,0,0,18,0,0,1,0,0,0,1,0,0,0,0
00010499,M,260,2,1,0,780,1560,3120,2,0,0,0,0,0,0,1,0,0,0,0
00010500,F,51,14,3,0,0,0,0,28,1,0,1,0,1,0,0,1,0,0,0
00010501,M,121,10,1,0,0,0,1452,10,0,0,0,0,0,0,1,0,0,0,0
00010503,M,165,4,5,0,0,198,396,14,2,0,1,0,1,0,1,0,0,0,1
00010504,F,48,14,3,0,0,0,0,30,0,0,0,0,1,1,1,0,0,0,1
00010505,F,350,4,5,0,0,420,840,16,0,0,3,0,0,0,2,1,0,0,0
00010508,F,193,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00010511,F,158,16,1,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0
00010512,F,316,32,2,0,0,0,0,36,0,1,0,1,0,0,0,0,0,0,0
00010513,F,25,10,1,0,0,0,300,10,1,0,0,0,0,0,0,0,0,0,0
00010514,F,246,10,2,0,0,0,1476,16,0,0,0,0,1,0,1,0,0,0,0
00010518,M,273,10,2,0,0,0,1638,12,2,0,0,0,0,0,0,0,0,0,1
00010521,F,390,10,11,0,0,0,425,32,2,1,2,2,0,1,3,0,0,0,0
00010522,M,69,4,2,0,0,207,414,8,1,0,0,1,0,0,0,0,0,0,0
00010525,F,442,8,12,0,0,0,442,76,2,2,3,1,2,1,1,0,0,0,0
00010526,F,171,16,2,0,0,0,0,22,0,0,0,0,1,0,1,0,0,0,1
00010527,F,189,4,8,0,0,142,284,40,1,3,1,1,0,1,1,0,0,0,0
00010530,F,169,14,11,0,0,0,0,40,0,3,3,2,0,2,1,0,0,0,0
00010531,M,94,2,2,0,141,282,564,10,0,0,1,0,0,1,0,0,0,0,0
00010532,F,310,18,1,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0
00010536,M,174,16,9,0,0,0,0,56,2,0,2,3,1,0,1,1,0,0,0
00010537,F,127,10,2,0,0,0,762,14,2,0,0,0,0,0,0,0,0,0,0
00010538,F,208,2,7,0,89,178,357,26,1,0,2,1,0,1,2,0,0,0,0
00010540,F,250,10,1,0,0,0,3000,10,1,0,0,0,0,0,0,0,0,0,1
00010545,M,100,22,2,0,0,0,0,26,0,0,0,1,0,1,0,0,0,0,1
00010550,F,249,6,12,0,0,125,249,60,3,0,5,0,3,0,1,0,0,0,0
00010554,M,130,36,2,0,0,0,0,38,0,0,1,0,0,1,0,0,0,1,0
00010556,F,335,8,11,0,0,0,365,52,2,2,4,1,0,1,1,1,0,1,0
00010558,M,252,12,2,0,0,0,1512,18,0,0,0,0,2,0,0,0,0,0,1
00010562,F,287,22,2,0,0,0,0,30,0,0,1,0,0,1,0,0,0,0,0
00010565,M,294,10,3,0,0,0,1176,20,0,2,0,0,1,0,0,0,0,0,0
00010566,M,431,28,12,0,0,0,0,68,3,0,3,0,2,1,3,1,1,1,0
00010568,F,148,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00010569,F,125,14,2,0,0,0,0,16,0,1,0,0,0,1,0,0,0,0,0
00010571,M,242,10,3,0,0,0,968,26,1,1,0,0,0,0,1,0,0,0,0
00010575,F,85,14,2,0,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0
00010576,F,286,34,2,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0
00010577,M,348,18,4,0,0,0,0,40,2,0,0,0,0,1,1,0,0,0,0
00010580,F,296,6,1,0,0,1776,3552,6,0,0,0,1,0,0,0,0,0,0,0
00010581,F,244,10,1,0,0,0,2928,10,0,0,0,0,1,0,0,0,0,0,0
00010583,F,104,8,2,0,0,0,624,16,0,0,1,0,0,0,1,0,0,0,0
00010584,M,301,28,2,0,0,0,0,32,1,0,0,0,0,1,0,0,0,0,0
00010585,F,307,24,9,0,0,0,0,46,3,2,0,2,2,0,0,0,0,0,0
00010586,M,59,14,2,0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,0
00010587,F,91,10,2,0,0,0,546,12,0,0,1,0,1,0,0,0,0,0,0
00010589,M,45,12,1,0,0,0,540,12,0,1,0,0,0,0,0,0,0,0,0
00010590,F,299,12,1,0,0,0,3588,12,0,0,0,1,0,0,0,0,0,0,0
00010592,F,201,8,1,0,0,0,2412,8,0,0,1,0,0,0,0,0,0,0,0
00010593,M,236,4,1,0,0,1416,2832,4,0,0,1,0,0,0,0,0,0,0,0
00010596,F,297,20,11,0,0,0,0,60,2,2,2,1,1,2,1,0,0,0,0
00010597,F,275,2,1,0,825,1650,3300,2,0,0,0,1,0,0,0,0,0,0,0
00010598,F,204,4,4,0,0,306,612,16,1,0,2,0,0,0,1,1,0,0,0
00010601,F,237,30,3,0,0,0,0,44,1,1,0,0,0,0,1,0,0,0,0
00010602,F,18,30,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
00010607,F,225,6,3,0,0,450,900,12,0,0,1,1,0,0,1,0,0,0,0
00010608,F,193,10,2,0,0,0,1158,14,0,1,1,0,0,0,0,0,0,0,0
00010610,F,331,10,7,0,0,0,567,48,1,0,1,0,0,2,3,1,0,1,1
00010612,M,277,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00010613,M,274,32,6,0,0,0,0,52,3,1,1,0,0,1,0,0,0,0,0
00010615,M,140,24,5,0,0,0,0,48,0,0,1,3,1,0,0,0,0,0,0
00010617,M,45,14,2,0,0,0,0,22,0,0,0,0,1,0,1,0,0,0,1
00010618,F,254,4,11,0,0,139,277,46,1,0,4,3,1,0,2,1,1,0,0
00010619,F,49,10,2,0,0,0,294,14,0,0,0,1,0,0,1,0,0,0,0
00010624,F,59,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00010625,F,149,6,3,0,0,298,596,18,0,0,0,1,1,0,1,0,0,0,0
00010628,F,320,10,12,0,0,0,320,38,2,1,3,2,2,2,0,0,0,0,0
00010630,F,260,18,2,0,0,0,0,24,0,1,1,0,0,0,0,1,0,0,0
00010631,F,236,2,1,0,708,1416,2832,2,0,0,0,0,1,0,0,0,0,0,0
00010632,M,75,14,3,0,0,0,0,30,1,0,1,0,1,0,0,0,0,0,0
00010633,F,294,24,2,0,0,0,0,30,0,0,1,0,1,0,0,0,0,0,0
00010635,F,215,4,3,0,0,430,860,20,1,0,1,1,0,0,0,0,0,0,0
00010639,F,137,12,2,0,0,0,822,18,0,0,0,0,0,0,2,0,0,0,0
00010640,F,30,6,2,0,0,90,180,8,0,1,0,0,0,0,1,0,0,0,0
00010641,F,177,10,2,0,0,0,1062,14,1,0,0,1,0,0,0,0,0,0,0
00010642,M,221,24,10,0,0,0,0,72,4,1,2,1,0,0,2,0,0,0,0
00010645,M,105,12,7,0,0,0,180,36,3,0,1,0,0,1,2,0,0,0,0
